Artifact Escape,4
Briefcase Escape,4
Evidence to News,2
Evidence to Authorities,2
X-Secret to Authorities,2
X-Secret to News,2
Artifact does NOT Escape,2
Briefcase does NOT Escape,2
X-Secret does NOT Escape,2
Evidence does NOT Escape,2
# Humans Escape,1 per
# Robots Escape,2 per
5 - # Humans Escape,5 - #
3 - # Robots Escape (0 if all escape),3 - #
Project X Released,1
Project X NOT Released,3
AM Detonates Onboard,3
AM does NOT Detonate Onboard,1
# Humans Down,1 per
# Robots Down,1 per
Contamination does NOT Escape,2
